Model,Accuracy,Precision,Recall,F1 Score
Linear SVM,0.9976504810919669,0.9967051070840197,0.9983498349834984,0.9975267930750206
Logistic Regression,0.9888118147236519,0.9847846441947565,0.9917491749174917,0.9882546394174301
Multinomial Naive Bayes,0.9618482882076527,0.9487002530480791,0.9721829325789721,0.9602980556525789
